id,frame,count,sum,min,max,avr
0,30,14,109305.77237238658,2160.6593725842495,25611.992157627465,7807.555169456185
1,60,19,103833.21217438769,1921.86552862302,15621.12279590878,5464.905903915142
2,90,9,73572.613888872,4711.517159376002,24438.59675382019,8174.7348765413335
3,120,16,49133.83993906414,729.2072687261298,8008.318242478708,3070.864996191509
4,150,26,64368.58621468747,1464.8276280803132,4541.775216242012,2475.7148544110564
5,180,21,97433.26855572184,1493.4976865650815,11223.4146863005,4639.679455034373
6,210,24,116479.5100186526,1279.8494544863436,10251.599536889453,4853.312917443858
7,240,25,122164.10363109375,1719.099350634315,13291.549124405909,4886.56414524375
8,270,18,115739.66852532547,2120.9942937367573,12602.360841038782,6429.981584740304
9,300,21,108831.25146482867,1222.8682591257798,14756.483154580008,5182.440545944222
10,330,18,136672.77913305265,697.3275268976857,24046.84377436765,7592.932174058481
11,360,18,151044.07629330875,1416.1991687152627,26650.201962375013,8391.337571850487
12,390,25,117209.59773360187,495.7733971416533,18663.089826100317,4688.383909344075
13,420,16,118495.35149874484,1716.5408664477966,20255.80255372548,7405.959468671553
14,450,28,123118.03596879802,1590.3656101065287,8617.130870255796,4397.072713171358
15,480,29,149918.50087702286,1970.1224383193946,17006.45733356792,5169.60347851803
16,510,32,118661.86757199447,1431.3031834859619,12378.607664378298,3708.1833616248273
17,540,29,132083.64063185634,1381.3871940186345,11559.727156790215,4554.608297650218
18,570,23,117747.65444180588,1583.816824601404,19636.102838230727,5119.463236600255
19,600,21,168349.13695568775,1041.6693736882926,22165.330216408813,8016.625569318464
20,630,14,127488.74943087484,3356.080925029413,15473.884577433484,9106.339245062489
21,660,24,160770.74796726953,2050.193385043196,24283.515827728617,6698.7811653028975
22,690,25,159877.97529244644,1467.222466438814,22103.07137867984,6395.119011697858
23,720,25,148429.06501105454,2046.6295651902471,24384.17288367958,5937.162600442181
24,750,35,152760.15204572142,942.8537341916057,17027.972857188353,4364.575772734897
25,780,19,162417.10152633893,1428.1520834176554,22273.143031339063,8548.26850138626
26,810,22,152374.8923162489,1471.3170638663398,17869.1714091578,6926.131468920405
27,840,24,125868.38908655949,1173.18142826733,27888.394007128038,5244.516211939978
28,870,21,134801.44258860886,2720.058215381869,16347.930574497916,6419.116313743279
29,900,12,106211.9241915998,3857.9069353643617,18371.403423813477,8850.993682633316
30,930,14,109343.35178295162,2762.06462817218,26113.546565018052,7810.239413067973
31,960,11,43705.126086894285,1271.9792248926656,9496.026097146463,3973.193280626753
32,990,17,62053.300294637374,1521.8601535825467,9085.293647307193,3650.194134978669
33,1020,19,83541.63345711153,1486.0006246501239,18016.550302470336,4396.92807669008
34,1050,33,115673.93553492126,1270.9114309119668,10183.68151736994,3505.2707737854926
35,1080,21,90408.94576434231,996.392442385499,16246.514067617263,4305.18789354011
36,1110,20,94875.15789781247,1198.3391182660469,18012.567453664775,4743.757894890624
37,1140,25,159257.03914790807,1369.8059395036892,17679.94818952008,6370.2815659163225
38,1170,29,168682.64846111837,1909.6198388755652,13885.843642233676,5816.643050383392
39,1200,28,157551.73491275855,1502.7778773801592,19477.34862196544,5626.847675455662
40,1230,25,125962.10004626744,2092.799503524083,11276.419261112058,5038.4840018506975
41,1260,20,122302.76576984028,1897.7906031172627,19060.65465387196,6115.138288492014
42,1290,27,129519.18964491966,951.9873623893496,16824.81261583235,4797.007023885913
43,1320,17,107330.18633059236,1507.9522487118945,33209.207253197535,6313.540372387786
44,1350,18,100991.16909776392,1462.3674585211027,16853.590137219842,5610.620505431329
45,1380,14,76571.36250482005,1568.844365073346,17855.90587505814,5469.383036058575
46,1410,23,130525.20982301795,1031.5577262190632,20633.90427178597,5675.009122739911
47,1440,17,96769.42313434981,544.715907316474,35633.63869965159,5692.31900790293
48,1470,37,137164.1272167951,850.5699825419159,10533.58835061299,3707.1385734268947
49,1500,24,127116.94537855762,1006.5374587522913,17493.602080185137,5296.539390773234
50,1530,26,113809.36843055973,463.9714869230471,12953.017206381975,4377.283401175374
51,1560,27,90109.89438442694,1002.4754343443943,8409.508549879032,3337.4034957195163
52,1590,16,139453.1704448178,1740.974894320851,24155.465430700944,8715.823152801113
53,1620,25,125324.54566566712,1122.369173465306,10439.388461556366,5012.981826626685
54,1650,22,92928.71724898776,916.0331394598296,8359.628755381209,4224.032602226716
55,1680,13,118736.03887193775,2326.187180245319,27382.17555492669,9133.541451687519
56,1710,22,112437.490238945,1718.7053137884454,11252.847758438327,5110.795010861137
57,1740,19,97045.9359168299,1482.7677769600039,12642.578287500282,5107.680837727889
58,1770,12,94548.4710447593,2276.8528221110737,25864.925877597587,7879.039253729941
59,1800,22,145002.0717998518,1444.2703006282502,27050.272083638458,6591.003263629627
