id,frame,count,sum,min,max,n1,n2,n3,n4,n5,b1,b2,b3,b4,b5,avr
0,30,14,109305.77237238658,2160.6593725842495,25611.992157627465,0.00013706196333266487,4.5687321110888284e-05,0.0,1.522910703696276e-05,1.522910703696276e-05,2160.6593725842495,6850.925929592891,11541.192486601536,16231.45904361018,20921.725600618818,7807.555169456185
1,60,19,103833.21217438769,1921.86552862302,15621.12279590878,0.00019209646888322264,5.7628940664966796e-05,7.6838587553289e-05,1.9209646888322272e-05,1.9209646888322272e-05,1921.86552862302,4661.716982080172,7401.568435537324,10141.419888994478,12881.271342451631,5464.905903915142
2,90,9,73572.613888872,4711.517159376002,24438.59675382019,0.0001971345464629307,2.8162078066132954e-05,0.0,0.0,2.8162078066132954e-05,4711.517159376002,8656.93307826484,12602.348997153676,16547.764916042514,20493.18083493135,8174.7348765413335
3,120,16,49133.83993906414,729.2072687261298,8008.318242478708,0.00030051746812046257,0.00017172426749740717,0.00017172426749740712,0.0,4.293106687435181e-05,729.2072687261298,2185.0294634766456,3640.8516582271614,5096.6738529776785,6552.496047728193,3070.864996191509
4,150,26,64368.58621468747,1464.8276280803132,4541.775216242012,0.0007499940254331801,0.0002499980084777267,0.0003124975105971585,0.00018749850635829506,0.00012499900423886334,1464.8276280803132,2080.217145712653,2695.606663344993,3310.996180977332,3926.385698609672,2475.7148544110564
5,180,21,97433.26855572184,1493.4976865650815,11223.4146863005,0.0002447042848379,0.00012235214241895006,4.894085696757999e-05,2.4470428483789995e-05,7.341128545137003e-05,1493.4976865650815,3439.481086512165,5385.464486459248,7331.447886406332,9277.431286353416,4639.679455034373
6,210,24,116479.5100186526,1279.8494544863436,10251.599536889453,0.00020898932569215928,9.288414475207078e-05,6.966310856405312e-05,6.966310856405308e-05,0.0001161051809400884,1279.8494544863436,3074.199470966965,4868.549487447587,6662.899503928208,8457.24952040883,4853.312917443858
7,240,25,122164.10363109375,1719.099350634315,13291.549124405909,0.00020738910489285383,0.00013825940326190255,1.728242540773782e-05,5.184727622321346e-05,1.728242540773782e-05,1719.099350634315,4033.589305388634,6348.079260142953,8662.569214897272,10977.059169651591,4886.56414524375
8,270,18,115739.66852532547,2120.9942937367573,12602.360841038782,0.00010600822956593564,0.00018551440174038728,5.3004114782967795e-05,7.950617217445175e-05,5.300411478296782e-05,2120.9942937367573,4217.267603197162,6313.540912657569,8409.814222117973,10506.087531578378,6429.981584740304
9,300,21,108831.25146482867,1222.8682591257798,14756.483154580008,0.00014074302538353523,0.00015833590355647715,1.7592878172941897e-05,3.5185756345883794e-05,1.7592878172941897e-05,1222.8682591257798,3929.591238216625,6636.314217307471,9343.037196398316,12049.760175489162,5182.440545944222
